City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Erenhot,CN,82.51,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
110,La Romana,DO,88.16,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
111,Hilo,US,79.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
113,Rock Sound,BS,81.9,clear sky,24.9,-76.2,Pink Corral Bay Property
114,Canon City,US,83.01,clear sky,38.441,-105.2424,Travel Inn Motel
117,Zheleznodorozhnyy,RU,85.55,overcast clouds,55.7503,38.0042,Hotel Dali
121,Westport,US,82.27,clear sky,41.1415,-73.3579,The Westport Inn
123,Kimbe,PG,76.51,light rain,-5.5502,150.1429,Kimbe Bay Hotel
124,Tautira,PF,76.96,broken clouds,-17.7333,-149.15,Pension Oaoa
127,Aden,YE,88.9,clear sky,12.7794,45.0367,Sama Emirate Hotel
129,Tomatlan,MX,82.9,overcast clouds,19.9333,-105.25,El Salvial
132,Lethem,GY,86.79,broken clouds,3.3803,-59.7968,Savannah Inn
133,Namatanai,PG,79.3,light rain,-3.6667,152.4333,Seagulls Inn Namatani
134,Inirida,CO,80.83,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
139,Padron,ES,80.13,clear sky,42.7388,-8.6606,Chef Rivera
140,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
142,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
144,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
145,Rio De Janeiro,BR,85.95,clear sky,-22.9028,-43.2075,Hotel cruz de ouro
147,Georgetown,MY,78.73,moderate rain,5.4112,100.3354,Cititel Penang
149,Presidencia Roque Saenz Pena,AR,77.29,clear sky,-26.7852,-60.4388,Hotel Gualok
152,Tambura,SS,82.13,overcast clouds,5.6,27.4667,Rikito Lodge
157,Garowe,SO,85.6,broken clouds,8.4054,48.4845,Curubo Hotel
158,Zarichne,UA,79.41,overcast clouds,51.8126,26.129,Yunistʹ
159,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
165,Meulaboh,ID,77.13,overcast clouds,4.1363,96.1285,Kost Pria
167,Butaritari,KI,82.76,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
174,Axim,GH,79.38,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
175,Cururupu,BR,84.27,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
176,Along,IN,77.36,few clouds,28.1667,94.7667,Hotel West
177,Socorro,US,83.3,broken clouds,31.6546,-106.3033,guarderia imss papalote
178,Iracoubo,GF,83.52,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
181,Alekseyevka,RU,77.97,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
182,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
184,Mersing,MY,80.51,few clouds,2.4312,103.8405,Timotel Hotel
190,Mingshui,CN,78.44,clear sky,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
194,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
196,Sao Gabriel Da Cachoeira,BR,82.2,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
198,Hami,CN,85.69,clear sky,42.8,93.45,Laoyutang Resort
199,Mitzic,GA,78.49,light rain,0.7821,11.549,Motel Emys
201,Lorengau,PG,80.1,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
202,Nouakchott,MR,84.13,scattered clouds,18.0858,-15.9785,HOTEL IMAN
203,Lucea,JM,85.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
204,Pacora,PA,80.58,broken clouds,9.0833,-79.2833,Residencia Los Años Dorados
206,Robertsport,LR,79.74,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
207,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
208,Marinette,US,79.25,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
210,Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
211,Lata,PT,83.48,clear sky,40.1629,-8.3327,Casa Maquia
220,Cabo San Lucas,MX,89.91,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
221,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
234,San Policarpo,PH,78.53,broken clouds,12.1791,125.5072,Agapita M. Nicart
238,Mattru,SL,78.19,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
241,Otradnoye,RU,83.03,clear sky,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
242,Tura,IN,77.07,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
245,Fukue,JP,79.45,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
254,Benghazi,LY,83.3,clear sky,32.1167,20.0667,Tibesti Hotel
258,Torbay,CA,76.87,broken clouds,47.6666,-52.7314,Gallows Cove
260,Mayo,US,85.12,clear sky,38.8876,-76.5119,Resorts Resource Group International
263,Hobbs,US,81.19,clear sky,32.7026,-103.136,Best Western Executive Inn
265,Barbate,ES,78.35,few clouds,36.1924,-5.9219,Hotel Adiafa
267,Ambon,ID,81.23,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
272,Sorong,ID,78.53,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
273,Korla,CN,89.29,clear sky,41.7597,86.1469,Gulisitan Hotel
274,Asau,RO,83.32,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
276,Klyuchi,RU,76.66,broken clouds,52.2667,79.1667,Vesolaya Mayovka
278,Lugovoy,KZ,85.75,broken clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
280,Tam Ky,VN,81.09,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
281,Samfya,ZM,76.28,clear sky,-11.3649,29.5565,Chita Lodge Samfya
282,Novo Aripuana,BR,85.77,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
286,Ypsonas,CY,83.37,few clouds,34.6884,32.9574,Club Aphrodite
287,Nishihara,JP,81.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
289,Maumere,ID,78.39,overcast clouds,-8.6199,122.2111,Sylvia Hotel
292,Wanlaweyn,SO,80.17,broken clouds,2.6185,44.8938,GAASHAAN HOME
293,Vaitape,PF,77.7,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
295,Bengkulu,ID,77.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
305,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
309,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
312,Tchollire,CM,87.8,few clouds,8.4022,14.1698,"Auberge ""l'amicale"""
327,Notse,TG,83.17,light rain,6.95,1.1667,Le Berceau
329,Huilong,CN,80.92,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
331,Porangatu,BR,86.77,clear sky,-13.4408,-49.1486,Wembley Park Hotel
335,Marienburg,PL,79.88,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
336,Ishigaki,JP,82.53,moderate rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
337,Gizo,SB,81.93,scattered clouds,-8.103,156.8419,Imagination Island
338,Karwar,IN,77.41,overcast clouds,14.8,74.1333,Netalco Connects
342,Kirakira,SB,81.37,few clouds,-10.4544,161.9205,SanBiz Lodge
343,Tonj,SS,82.89,overcast clouds,7.2737,28.6822,Lakan Hotel
347,Cocobeach,GA,78.28,overcast clouds,1.0002,9.5823,Hotel Esperance
349,Marsa Matruh,EG,81.86,clear sky,31.3525,27.2453,Beau Site
351,Mazyr,BY,82.74,scattered clouds,52.0495,29.2456,Euro Mini-Hotel
352,Santa Rosalia,MX,83.17,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
353,Ratnagiri,IN,79.59,overcast clouds,16.9833,73.3,Hotel Landmark
354,Ambanja,MG,75.13,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
358,Mabaruma,GY,84.4,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
361,Matara,LK,79.93,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
367,Faya,SA,79.32,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
368,Idenao,CM,75.15,light rain,4.2475,9.0047,Moland Beach Resort
369,Cognac,FR,84.04,clear sky,45.5,-0.25,Domaine de Pladuc
371,Kochi,IN,77.02,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
372,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
373,Vyshneve,UA,84.09,scattered clouds,50.3891,30.3705,Sofiyivsʹkyy Posad
374,Valle De Allende,MX,75.02,few clouds,26.9333,-105.4,Hotel Meson de San Bartolome
375,Sao Filipe,CV,75.85,clear sky,14.8961,-24.4956,Hotel Xaguate
376,Acarau,BR,82.27,broken clouds,-2.8856,-40.12,castelo pizzaria
378,Jhalawar,IN,88.07,broken clouds,24.6,76.15,Maan Singh palace Hotel & Resort
379,Hoa Binh,VN,84.63,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
381,Gazipur,BD,87.76,haze,23.9981,90.423,Murshida & Zakir's Nest
382,San Jose De Guanipa,VE,85.08,broken clouds,8.8872,-64.1651,HOTEL 283 SUITES
384,Itarema,BR,82.51,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
385,Cepu,ID,77.61,overcast clouds,-7.1475,111.5906,OYO 673 Hotel Cepu Indah 1
386,Guatire,VE,83.7,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
387,Kalmunai,LK,83.73,overcast clouds,7.4167,81.8167,VS Villa
388,Samarai,PG,81.09,overcast clouds,-10.6167,150.6667,Nuli Sapi
390,Akyab,MM,82.33,overcast clouds,20.15,92.9,Hotel Memory
391,Orikum,AL,85.93,few clouds,40.3253,19.4714,Hotel Denta
397,Touros,BR,79.79,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
398,Road Town,VG,87.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
399,Machalpur,IN,87.1,broken clouds,24.1333,76.3,New Trimurti Bhojnalaya
401,Abha,SA,79.05,clear sky,18.2164,42.5053,Abha Hotel
402,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
403,Sinnamary,GF,83.07,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
404,Peniche,PT,79.09,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
406,Ciudad Bolivar,VE,86.29,scattered clouds,8.1222,-63.5497,Hotel Edi
408,Gwadar,PK,85.96,overcast clouds,25.1216,62.3254,Sadaf Resort
410,Katsuura,JP,75.56,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
411,Oyama,JP,82.58,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
412,San Luis De Palenque,CO,75.15,light rain,5.4214,-71.7317,Hotel Palenque Los Cubarros
418,Rio Rancho,US,77.81,broken clouds,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
428,Bhadrachalam,IN,76.91,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
429,Ocos,GT,84.38,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
434,Mahibadhoo,MV,83.41,light rain,3.7833,72.9667,Omadhoo Inn
439,Cuernavaca,MX,76.32,broken clouds,18.9167,-99.25,Hotel Orense Express
447,The Valley,AI,86.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
448,Palmer,US,80.85,clear sky,42.1584,-72.3287,Wedgewood Motel
451,Safaga,EG,89.2,few clouds,26.7292,33.9365,Lamar Resort Abu Soma
456,Tsarychanka,UA,81.16,broken clouds,48.937,34.4786,Готель Старий Млин
460,Eyl,SO,86.09,scattered clouds,7.9803,49.8164,Amiin Hotel
462,Takoradi,GH,78.4,light rain,4.8845,-1.7554,Raybow International Hotel
463,Laranjal Paulista,BR,81.23,clear sky,-23.0497,-47.8367,Vale Verde Palace Hotel
468,Bagrami,AF,84.43,clear sky,34.4938,69.2743,SH++ZA
469,Puqi,CN,76.62,broken clouds,29.7167,113.8833,Ramada Plaza Chibi
477,Papara,BR,81.0,broken clouds,-3.9839,-38.7273,Bela vista Maranguape
478,Develi,TR,79.95,clear sky,38.3906,35.4922,DEVELİ TEACHER AND ASO
480,Vicksburg,US,85.73,few clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
483,Bhatkal,IN,77.36,moderate rain,13.9667,74.5667,Nilawar Palace
484,Sola,VU,80.67,few clouds,-13.8833,167.55,Leumerus Bungalows
486,Caravelas,BR,78.51,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
496,Albion,US,84.38,clear sky,42.2431,-84.753,Days Inn by Wyndham Albion
498,Banda Aceh,ID,78.93,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
500,Nhamunda,BR,89.15,moderate rain,-2.1861,-56.7131,Pousada Da Praia
504,Karaman,TR,75.25,clear sky,37.0833,33.25,Gokce Koyu Muhtarligi
507,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
510,Pemangkat,ID,81.18,overcast clouds,1.1667,108.9667,Ramah Kost KITA
512,Darnah,LY,81.72,clear sky,32.767,22.6367,فندق الفردوس
515,Broome,US,78.48,clear sky,42.2506,-75.833,Chenango Valley State Park
516,Sarkand,KZ,76.69,broken clouds,45.41,79.9186,Гостиница Сарканд
517,Apatou,GF,89.58,broken clouds,5.155,-54.3472,Yoto quensha
524,Hamilton,US,87.06,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
525,Mumford,GH,77.79,broken clouds,5.2618,-0.759,Spanish Villa
526,Goderich,CA,75.52,broken clouds,43.7501,-81.7165,Harmony Inn
527,Cassia,BR,77.63,clear sky,-20.5831,-46.9219,Hotel e Restaurante Âncora
530,Sarangani,PH,81.75,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
539,Altamira,BR,87.6,scattered clouds,-3.2033,-52.2064,Requinte Hotel
540,Lazaro Cardenas,MX,85.89,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
541,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
544,Luis Correia,BR,86.0,scattered clouds,-2.8792,-41.6669,Hotel Amarração
546,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
549,Muroto,JP,77.5,moderate rain,33.2833,134.15,Oota Ryokan
551,Kavaratti,IN,81.91,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
552,Jardim,BR,88.07,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
553,Joao Pessoa,BR,82.63,moderate rain,-7.115,-34.8631,Nobile Suítes Tambaú
556,Bressuire,FR,81.48,clear sky,46.9167,-0.5,La Coudrière
557,Andreapol,RU,78.28,broken clouds,56.6513,32.2664,Gostevoy Dom Uyut
559,Bang Saphan,TH,77.49,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
560,Amalapuram,IN,78.73,overcast clouds,16.5833,82.0167,swayamprabha service apartments
561,Libourne,FR,82.58,scattered clouds,44.9167,-0.25,Hôtel Mercure Libourne Saint-Émilion
562,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
564,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,hotel la terminal
569,Mount Holly,US,86.07,broken clouds,35.2982,-81.0159,"Holiday Inn Express & Suites Charlotte Arpt-Belmont, an IHG Hotel"
572,Tecoanapa,MX,80.92,overcast clouds,16.5167,-98.75,Hotel Manglares
573,Kutum,SD,88.43,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
575,Carutapera,BR,82.22,clear sky,-1.195,-46.02,Lidera
577,Kilindoni,TZ,76.48,clear sky,-7.9139,39.6668,Bustani B&B
584,Kieta,PG,79.38,light rain,-6.2167,155.6333,Uruna Bay Retreat
585,Balabac,PH,82.09,light rain,7.9868,117.0645,Batalla’s Lodging House
587,Cantapoy,PH,79.75,overcast clouds,9.4906,125.4364,Brgy Pili Mountain View
589,Hope,US,87.85,clear sky,33.6671,-93.5916,Best Western Hope
591,Puerto Ayacucho,VE,82.29,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
593,Monki,PL,76.01,broken clouds,53.405,22.7979,Zajazd Mońki
597,Carlisle,US,83.03,clear sky,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
598,Padang,ID,77.38,broken clouds,-0.9492,100.3543,Mercure Padang
602,Bilgoraj,PL,86.67,overcast clouds,50.5411,22.722,Dodo
605,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
606,Surt,LY,82.87,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
612,Shenjiamen,CN,78.3,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
615,Meadow Lake,US,76.41,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
617,Abrau-Dyurso,RU,80.06,clear sky,44.69,37.59,Avgustin Inn
620,San Antonio,US,88.27,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
622,Bonthe,SL,79.93,light rain,7.5264,-12.505,Bonthe Holiday Village
626,Virginia Beach,US,88.05,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
628,Warrensburg,US,87.8,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
629,Morehead,US,88.79,clear sky,37.2711,-87.1764,CCI Express Inn
634,Cermik,TR,88.02,clear sky,38.1361,39.4493,Çermik Öğretmen Evi
635,Anori,BR,78.08,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
637,Luwuk,ID,77.16,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
638,Correntina,BR,83.59,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
639,Yamethin,MM,78.1,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
640,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
643,Agogo,GH,75.96,light rain,6.8,-1.0819,"Ebenezer Hostel, Agogo"
644,Fare,PF,78.03,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
652,Cabinda,AO,77.14,few clouds,-5.55,12.2,Hotel Maiombe
656,Puerto Gaitan,CO,81.64,scattered clouds,4.3133,-72.0816,Brisas del Yucao
657,Muisne,EC,75.02,overcast clouds,0.6,-80.0333,Quinta Samay
658,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
662,Silver City,US,78.62,clear sky,32.7701,-108.2803,Copper Manor Motel
663,Yarmouth,US,80.15,clear sky,41.7057,-70.2286,Blue Rock Resort
667,Inongo,CD,79.59,few clouds,-1.95,18.2667,Hotel Du Lac
672,Parnamirim,BR,85.89,broken clouds,-5.9156,-35.2628,Pousada Joaci
673,Leua,SK,87.49,overcast clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
676,Shimoda,JP,75.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
679,Eliot,US,81.32,clear sky,43.1531,-70.8001,JLS Business Suites
681,Porto Seguro,BR,77.52,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
682,Jiuquan,CN,75.99,overcast clouds,39.7432,98.5174,Jiuquan Hotel
683,Veraval,IN,83.25,overcast clouds,20.9,70.3667,Lords Inn Somnath
684,Svetlogorsk,BY,80.02,few clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
687,Tateyama,JP,77.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
